url,daymoney,days,industry,jobdescribe,lasting,location,title,...
http://www.shixiseng.com/intern/inn_eaybpoyroqe0,80-100/天 丨,"4天/周

丨",电子,岗位职责： 1.协助Data Management Engineer工作，如客户数据的前期处理及简单分析； 2.Data Management 主要从事软件的开发 (优化生产制程) 任职要求： 1.在校大学生，数学/统计等专业； 2.较好的学习能力，沟通能力良好，英语通过CET-4； 3.一周至少可提供3天的实习时间（8:00-17:00上班时间，提供上下班交通车；实习可提供6个月更佳）,实习6个月,重庆 丨,Data Intern/数据处理实习生,{}
http://www.shixiseng.com/intern/inn_fuvl5smtgm18,240-241/天 丨,"5天/周

丨",计算机/互联网,"岗位职责： 1、大数据生态的关键技术的学习和使用； 2、使用大数据技术对数据进行处理； 3、大数据算法开发； 任职要求： 1、211或985本科及以上，专业 computer science，software engineering,  Electrical Engineering, 等等工科专业，硕士优先； 2、工作经验不限，有Java经验优先，有数据库经验优先，如MySQL等等； 3、熟悉数据结构算法； 4、熟练掌握C、C++，熟悉Java者优先； 5、熟练使用关系型数据库如：mysql或sql server； 6、熟练掌握java、Linux shell； 7、学习能力强，能独立处理和解决所负责的任务，态度好，肯吃苦学习， 善于自我激励；",实习9个月,上海 丨,大数据开发工程师实习生,{}
http://www.shixiseng.com/intern/inn_pxvkwxvmybdj,100-120/天 丨,"3天/周

丨",企业服务,"作为顾客体验专家，KORE通过深入的消费者洞察，为客户提供全面的营销咨询解决方案。 KORE能带给你接触各大国际品牌的机会，了解其品牌价值及战略。 公司办公环境舒适，氛围轻松活泼，同事热情友好，提供各种零食饮料，节假日有惊喜礼物。 岗位描述： 1. 调研项目开始前的准备工作
– 包括问卷、项目指南等的设置; 2. 负责调研项目安排/协调及每日进展的跟进工作，督导项目进度; 3. 数据收集、整理、分析，保证有效性，准确性，可信性; 4. 客户报告编写; 5. 完成其他项目相关工作; 任职要求： 1. 至少有1-2年相关工作经验； 2. 良好的数据分析和逻辑思维能力； 3. 熟练使用计算机，良好的英语应用能力； 4. 具有执行力，团队合作精神，良好沟通协调能力，能承受工作压力； 5. 有相关行业工作经验者，优先考虑； 工作地点：上海市静安区延平路121号6BC（近2号线、7号线）",实习9个月,上海 丨,数据运营,{}
http://www.shixiseng.com/intern/inn_ppijy0kuifap,80-100/天 丨,"5天/周

丨",计算机/互联网,【招聘岗位】 实习实施 ：25人 职位描述：辅助项目上线，协助其他部门对客户进行软件实施、及时了解客户需求，提供解决办法。 职位要求：计算机、信息工程、软件工程、数学等相关专科以上学历，熟悉SQL Server或Oracle等主流数据库系统优先。 【薪酬待遇】 五天八小时工作制，提供实习培训，培训津贴费80元/天起，以及工作餐补贴、加班补贴。 【招聘对象】 2016或2017应届、毕业生均可，专业不限 【招聘流程】 1、面试筛选 ； 2、实习培训。 【联系方式】 地址：广州市中山二路35号8楼（省冶金设计院大厦东门）,实习2个月,广州 丨,软件实施工程师,{}
http://www.shixiseng.com/intern/inn_7gx4ahiekmj1,100-101/天 丨,"5天/周

丨",互联网,"【针对18届毕业生】 要求尽快上岗，保证四个月实习时间，无留用机会， 还有课及要找工作的同学请慎投。 一、工作内容： 1、腾讯智汇类商业产品的日常运营与支持； 2、产品数据统计与分析； 3、推进业务项目进度； 4、业务分析及撰写数据报告。 二、工作要求： 1、本科及以上学历,大三,研二（学硕），研一（专硕）优先； 2、每周5日全勤，连续实习4个月以上（必要条件）； 3、表达沟通能力强，可以很好的跟人沟通，取得预期的结果； 4、做事情耐心严谨，逻辑思维能力强； 5、熟悉使用office办公软件，熟悉EXCEL和PPT，有较强的数据敏感度，有一定的文字撰写能力。",实习4个月,北京 丨,数据运营实习生,{}
http://www.shixiseng.com/intern/inn_mid1ltfhvs8w,130-150/天 丨,"3天/周

丨",教育培训,数据分析与市场开发助理，全职， 1 名， 2017 届应届本科生 我们的数据量累计起来比姚明还高 请用你的逻辑 hold 住它们 l 数据挖掘：设计调查问卷，通过聊天挖掘真实数据 l 数据处理：清洗数据，剔除逻辑错误的数据，整理归类数据，标签化和标准化 l 数据分析：帮助申请者解决“我能够申请什么学校”“我应该申请什么实习” 希望你 l 曾经专注于一件事情，并且能够把它做到极致，即使不务正业也可以 l 会聊天，可以聊到一见如故，会说英语，中文，人话和鬼话 l 高中是理科生加分，喜欢找规律的文科生也加分 l 统计学、市场营销、会计、金融、传媒等专业优先 l 公司坐标上海松江， 2017 届或者往届本科生，能够马上实习的优先 你会得到： 月薪 4K-7K 股权 / 期权激励 未来独角兽创业项目的参与机会 紧密合作的精致团队，丰富的出行和旅行机会,实习6个月,上海 丨,数据分析与市场开发助理,{}
http://www.shixiseng.com/intern/inn_dr18uqiwrbgz,190-220/天 丨,"4天/周

丨",互联网,​ 职位介绍: 谁说码农只能坐在电脑前盯着满屏绿点舞爪张牙，我们的数据工程师表示不服。 星环的每一个数据工程师都是连接公司研发团队与客户的“桥梁”，数据工程部也是最能直观体现公司产品价值、保证公司项目完美落地、使得公司产品真正“发光发热”的部门。 作为数据工程师你不会仅仅盯着功能任务，星环的客户来自金融、交通、电信运营商等众多行业，所以你从事的工作将是跨行业性的。工作中你会了解不同的行业生态，接触不同客户的实际问题，拓宽自己的视野高宽度，在实践中不断磨砺自己的技术。 经过一段时间的积累，相信你已经点亮了足够的技能点，这时候你可以根据自己的兴趣去选择深入发展的方向：如果倾向于往技术方向发展则成为架构师，如果倾向于往项目管理方向发展则可以加入我们的项目管理团队，当然，如果你喜欢做个安静的码农美男子，也可以选择加入工具开发团队。 星环数据工程部，期待一个不安于仅仅做码农的你，期待一个善于乐于沟通的你，星环数据工程师告诉你，码农的世界，还可以更宽更广。 工作职责: 1、直面客户，在实际业务场景下验证产品的功能与性能 2、搭建部署大数据产品与云产品平台，开发相关的连接工具 3、进行项目和技术方案沟通，提出自己独到的见解，完善公司的业务功能方案 职位要求： 1、计算机或相关专业本科（或以上）学历 2、熟悉Linux、shell，能对系统进行简单运维 3、熟悉SQL 语言，对Oracle/DB2 存储过程有所了解 4、熟悉Java语言 对大数据，云计算技术和产品有强烈的兴趣和热情 5、热爱与人沟通，进取心强、分析总结能力强，享受飞机火车的快感,实习12个月,上海 丨,数据工程实习生（poc）,{}
http://www.shixiseng.com/intern/inn_b6xtzfj44ltu,170-200/天 丨,"4天/周

丨",互联网,岗位职责： 1.用sqoop，flume写数据倒入脚本完成上机实验 2.完成web的界面和调用开发可以通过Hyperbase查询导入数据 3.学会调用Discover的一些算法实现分析算法的图形化实现 岗位要求： 1.理工科背景，计算机相关专业优先，专业不相关慎投 2.理解能力学习能力好 3.对新事物有好奇心，喜欢钻研 实习生总体情况： 1.2017届应届毕业生，在读研二学生，优秀大三学生生亦可； 2.一周可以实习4天及以上； 3.可保证长期实习，我们对待实习生和正式员工一样的，比BAT学到的东西更多； 4.实习薪资：本科170/天，硕士200元/天； 5.工作地点：上海市—徐汇区漕河泾开发区桂中园； 6.公司对于实习生更看重学生的计算机基础、算法、数据结构和快速学习能力，相 关大数据研究项目属于加分项； 7.入职之后，公司会给每位实习生配Buddy，让同学快速上手工作； 8.表现优秀的同学，可以提供转正面试的机会，提前拿到校招正式Offer！,实习4个月,上海 丨,大数据分析师实习生,{}
http://www.shixiseng.com/intern/inn_xxcbjkzosen6,100-150/天 丨,"4天/周

丨",信息安全,工作内容： 大数据相关产品的研发工作，负责web开发、后台数据的处理等。 任职资格： 1、本科及以上学历； 2、 有Python， web 开发经验的优先； 3、有较强的学习能力和较高的学习热情，具备积极乐观的心态，良好的职业素质，具备成熟的团队协作意识。,实习3个月,北京 丨,大数据挖掘工程师（北京实习生）,{}
http://www.shixiseng.com/intern/inn_hu1zx7gtqkh7,100-200/天 丨,"3天/周

丨",计算机/互联网,"岗位职责： 1. 参与去哪儿网金融大数据平台系统和算法的研发和优化； 2. 参与金融支付基础数据和算法的研发和优化； 3. 基于大数据金融场景，进行信用风险模型，风控模型的创新设计； 4. 参与数据建模所需的工具链研发。 任职资格： 1. 计算及相关专业，2018年或2019年毕业的硕士研究生，统计学、数据挖掘、机器学习理论基础扎实； 2. 具备数据建模实践经验； 3. 扎实的编程基础，熟悉Python\R语言优先； 4. 熟练掌握Hive\SQL；熟悉Hadoop, Hbase, Spark 优先；拥有海量数据处理经验者优先。 PS：此实习岗位为实习岗位，2017年应届生请勿投递。",实习3个月,北京 丨,大数据实习生,{}
