url,actors,area,audience,director,genre,rate,title,year,...
https://movie.douban.com/subject/22994672/,"[""莫妮卡·巴尔赛"", ""索博茨·贝德·法泽卡什"", ""大卫·樱井"", ""佐尔坦·施米德"", ""安东尼·塞尔纳"", ""皮洛斯卡·莫尔纳"", ""加博尔·瑞维斯基"", ""玛丽安·科奇什"", ""阿奇·古比""]",匈牙利,3250,"[""Károly Ujj Mészáros""]","[""喜剧"", ""爱情"", ""奇幻""]",7.2,"狐仙丽莎煞煞煞 Liza, a rókatündér",(2015),{}
https://movie.douban.com/subject/26931155/,"[""林柏宏"", ""石安妮"", ""何明翰"", ""王芊""]",中国大陆,,"[""黄朝亮""]","[""剧情"", ""爱情""]",,给19岁的我自己,(2016),{}
https://movie.douban.com/subject/26140405/,"[""松田翔太"", ""前田敦子"", ""木村文乃"", ""三浦贵大"", ""前野朋哉"", ""森冈龙"", ""矢野圣人"", ""吉谷彩子"", ""松浦雅"", ""大西礼芳"", ""佐藤玲"", ""山西惇"", ""木梨宪武"", ""手塚理美"", ""片冈鹤太郎""]",日本,22852,"[""堤幸彦""]","[""剧情"", ""爱情"", ""悬疑""]",7.5,爱的成人式 イニシエーション・ラブ,(2015),{}
https://movie.douban.com/subject/26631932/,"[""哲拉予·拉翁马尼"", ""刁•他那博•利拉达那甲春"", ""高·素帕莎·他那差"", ""瓦尔蕾特·瓦帖儿"", ""@goyyog""]",泰国,81,[],"[""剧情""]",6.6,O型血 O-Negative รักออกแบบไม่ได้,(2016),{}
https://movie.douban.com/subject/10581289/,"[""能年玲奈"", ""桥本爱"", ""小泉今日子"", ""宫本信子"", ""药师丸博子"", ""蟹江敬三"", ""尾美利德"", ""杉本哲太"", ""松田龙平"", ""有村架纯"", ""小池彻平"", ""古田新太"", ""木野花"", ""美保纯"", ""片桐入"", ""吹越满"", ""盐见三省"", ""绪方义博"", ""平泉成"", ""福士苍汰"", ""荒川良良"", ""皮埃尔泷"", ""伊势志摩"", ""菅原大吉"", ""村杉蝉之介"", ""皆川猿时"", ""安藤玉惠"", ""八木亚希子"", ""松冈茉优"", ""大野丝"", ""优希美青"", ""足立梨花"", ""山下莉绪"", ""东出昌大""]",日本,14971,"[""井上刚"", ""吉田照幸"", ""梶原登城"", ""西村武五郎"", ""桑野智宏""]","[""剧情"", ""喜剧""]",9.3,海女 あまちゃん,(2013),{}
https://movie.douban.com/subject/26361576/,"[""李智雅"", ""金民俊"", ""朴有焕"", ""吴钟赫"", ""都枝寒""]",韩国,,[],"[""悬疑"", ""惊悚""]",,舞水端 무수단,(2016),{}
https://movie.douban.com/subject/26705688/,"[""森下由樹子"", ""富澤雄基"", ""大隈健太"", ""田端美保"", ""後藤友香里"", ""遠藤璃菜"", ""儀武ゆう子"", ""平ますみ"", ""仲台吉一""]",日本,226,"[""沼田友""]",[],7.2,旅街晚间秀 旅街レイトショー,(2016),{}
https://movie.douban.com/subject/4841241/,"[""下野纮"", ""伊藤加奈惠"", ""竹达彩奈"", ""花泽香菜"", ""阿澄佳奈"", ""悠木碧"", ""东山奈央""]",日本,4943,"[""高柳滋仁""]","[""动画""]",7.5,只有神知道的世界 神のみぞ知るセカイ,(2010),{}
https://movie.douban.com/subject/26742746/,"[""尹施允"", ""金赛纶"", ""廉晶雅"", ""郭时旸"", ""张熙珍"", ""李知勋""]",韩国,596,"[""赵贤卓""]","[""剧情""]",6.0,魔女宝鉴 마녀 보감,(2016),{}
https://movie.douban.com/subject/26730270/,"[""王冰冰"", ""张珈珈"", ""刘一尨"", ""王铭婧""]",中国大陆 片长: 56分,,"[""张一丁""]",[],,超能精神病,(2016),{}
