url,actors,audience,director,genre,rate,title,year,...
https://movie.douban.com/subject/11776289/,"[""周润发"", ""张艾嘉"", ""陈奕迅"", ""汤唯"", ""王紫逸"", ""郎月婷"", ""张兆辉"", ""天心"", ""车婉婉"", ""洪天明"", ""朱健钧"", ""龚慈恩""]",36841,"[""杜琪峰""]","[""剧情"", ""喜剧"", ""爱情"", ""歌舞""]",6.1,华丽上班族 華麗上班族,(2015),{}
https://movie.douban.com/subject/25861811/,"[""澎恰恰"", ""许效舜"", ""洪胜德"", ""杨丽音"", ""郭子乾""]",2342,"[""王伟忠""]","[""喜剧""]",9.5,中国电视史 中國電視史,(1988),{}
https://movie.douban.com/subject/2240659/,"[""吴奇隆"", ""刘涛"", ""黄文豪""]",1045,"[""吴丽骀""]","[""剧情"", ""爱情"", ""历史""]",6.9,李后主与赵匡胤,(2007),{}
https://movie.douban.com/subject/26725145/,"[""范家其"", ""阮力"", ""刘婉露""]",,"[""刘磊""]",[],,别笑江湖之一夜春梦,(2016),{}
https://movie.douban.com/subject/24751825/,"[""韩雪"", ""杜海涛"", ""李佳航"", ""谢依霖"", ""冯铭潮""]",5194,"[""韩晶""]","[""喜剧"", ""爱情""]",4.2,我为相亲狂,(2013),{}
https://movie.douban.com/subject/2214141/,"[""王宏伟"", ""伍宇娟"", ""吴刚"", ""王丝菲""]",725,"[""王分""]","[""剧情""]",6.9,箱子,(2007),{}
https://movie.douban.com/subject/25926752/,"[""朱亚文"", ""马伊琍"", ""张兆辉"", ""张可颐"", ""侯京健"", ""刘美含"", ""陶慧"", ""徐可"", ""吴佳尼"", ""郭昊伦"", ""洪林小湛""]",6702,"[""李骏"", ""李晓""]","[""剧情"", ""爱情"", ""家庭""]",5.3,北上广不相信眼泪,(2015),{}
https://movie.douban.com/subject/24827543/,"[""刘骐"", ""董晴"", ""李鑫雨""]",38,"[""马成赟""]","[""剧情"", ""爱情""]",3.9,第101场婚礼,(2012),{}
https://movie.douban.com/subject/26702243/,"[""张念恩"", ""连莲"", ""袁溪"", ""陈彦蘅（米丁）""]",,"[""陈汗  陈太云""]","[""剧情"", ""爱情""]",,淘女郎之青春对决,(2016),{}
https://movie.douban.com/subject/22556810/,"[""胡耀辉"", ""郑中基"", ""雨侨"", ""杨建平"", ""王传君"", ""张继聪"", ""苏民峰"", ""张驰"", ""邹文正"", ""何华超"", ""田启文"", ""梁嘉琪"", ""刘江"", ""郑子诚"", ""黄建东"", ""杨尚斌"", ""张暖雅"", ""温超""]",2195,"[""胡耀辉""]","[""喜剧"", ""动作""]",4.3,猛龙特囧 猛龍特囧,(2015),{}
https://movie.douban.com/subject/26125672/,"[""雷佳音"", ""袁姗姗"", ""车晓"", ""曹曦文"", ""霍思燕"", ""王千源"", ""朱茵"", ""秦焰"", ""谭凯"", ""刘楚恬"", ""高叶""]",2558,"[""张晓波""]","[""剧情"", ""喜剧""]",7.7,我爱男保姆,(2015),{}
https://movie.douban.com/subject/26746784/,"[""高雪"", ""鲜青洋"", ""周正达""]",,"[""郭伟""]","[""喜剧"", ""奇幻""]",,猪妖记,(2016),{}
https://movie.douban.com/subject/26716408/,"[""汤镇宗"", ""王小龙"", ""刘洪坤"", ""徐亚""]",,"[""蔡德成""]","[""剧情"", ""儿童""]",,老师再爱我一次,(2016),{}
https://movie.douban.com/subject/6519575/,"[""李雪健"", ""奚美娟"", ""陶虹"", ""李晨"", ""胡明"", ""艾丽娅"", ""黄素影"", ""房子斌"", ""吕一""]",1436,"[""董玲""]","[""剧情"", ""传记""]",7.1,杨善洲,(2011),{}
https://movie.douban.com/subject/25907088/,"[""孙坚"", ""周泓"", ""金恩圣"", ""李彩英""]",1659,"[""Pakphum Wongjinda"", ""金成浩"", ""彭发""]","[""惊悚""]",5.0,魔镜,(2015),{}
https://movie.douban.com/subject/26022253/,"[""林嘉欣"", ""石锦航"", ""柯佳嬿"", ""李千娜"", ""张书豪"", ""马志翔""]",2005,"[""林书宇""]","[""剧情"", ""家庭""]",7.0,百日告別,(2015),{}
https://movie.douban.com/subject/26321184/,"[""马赛""]",,"[""杜琪峰"", ""吴宇森"", ""徐克"", ""许鞍华"", ""林岭东"", ""谭家明"", ""洪金宝"", ""袁和平""]","[""历史""]",,八部半,(2018),{}
