,rating,time
30065,5,2017/8/6 23:24
8522,4,2017/8/6 23:24
7122,5,2017/8/6 23:24
50678,2,2017/8/6 23:24
44427,4,2017/8/6 23:24
31277,3,2017/8/6 23:24
27583,4,2017/8/6 23:24
44114,3,2017/8/6 23:24
97663,4,2017/8/6 23:24
44841,3,2017/8/6 23:24
103948,4,2017/8/6 23:24
37295,5,2017/8/6 23:24
91542,4,2017/8/6 23:24
937,2,2017/8/6 23:24
27781,4,2017/8/6 23:23
62844,5,2017/8/6 23:23
29233,3,2017/8/6 23:23
21502,3,2017/8/6 23:23
84534,4,2017/8/6 23:23
68583,5,2017/8/6 23:23
68545,5,2017/8/6 23:23
90485,3,2017/8/6 23:23
11571,4,2017/8/6 23:23
46117,4,2017/8/6 23:23
64962,4,2017/8/6 23:23
44176,4,2017/8/6 23:23
90818,3,2017/8/6 23:23
24271,3,2017/8/6 23:23
75407,4,2017/8/6 23:23
96430,1,2017/8/6 23:23
87631,5,2017/8/6 23:23
90051,4,2017/8/6 23:23
111736,5,2017/8/6 23:22
8555,5,2017/8/6 23:22
94217,5,2017/8/6 23:22
14471,5,2017/8/6 23:22
74385,4,2017/8/6 23:22
89797,4,2017/8/6 23:22
60858,4,2017/8/6 23:22
9275,,2017/8/6 23:22
47063,3,2017/8/6 23:22
55287,5,2017/8/6 23:22
98228,5,2017/8/6 23:22
66678,5,2017/8/6 23:22
57024,5,2017/8/6 23:22
22704,5,2017/8/6 23:22
35754,5,2017/8/6 23:21
18431,5,2017/8/6 23:21
76788,4,2017/8/6 23:21
59077,2,2017/8/6 23:21
42612,2,2017/8/6 23:21
18492,4,2017/8/6 23:21
1911,4,2017/8/6 23:21
19415,4,2017/8/6 23:21
32574,5,2017/8/6 23:21
82266,4,2017/8/6 23:21
95474,5,2017/8/6 23:21
1973,5,2017/8/6 23:21
305,5,2017/8/6 23:21
81235,5,2017/8/6 23:21
40278,5,2017/8/6 23:21
41499,2,2017/8/6 23:21
76647,4,2017/8/6 23:21
102274,4,2017/8/6 23:20
56223,4,2017/8/6 23:20
82644,4,2017/8/6 23:20
93319,4,2017/8/6 23:20
12396,5,2017/8/6 23:20
9917,4,2017/8/6 23:20
46608,5,2017/8/6 23:20
74129,4,2017/8/6 23:20
3460,5,2017/8/6 23:20
31608,,2017/8/6 23:20
24425,5,2017/8/6 23:20
112478,5,2017/8/6 23:20
48594,4,2017/8/6 23:20
56746,5,2017/8/6 23:19
71806,5,2017/8/6 23:19
90473,5,2017/8/6 23:19
41682,4,2017/8/6 23:19
69047,4,2017/8/6 23:19
102222,5,2017/8/6 23:19
85982,4,2017/8/6 23:19
21521,3,2017/8/6 23:19
81973,5,2017/8/6 23:19
84469,5,2017/8/6 23:19
34522,3,2017/8/6 23:19
59789,5,2017/8/6 23:19
98724,3,2017/8/6 23:19
78729,5,2017/8/6 23:19
85634,4,2017/8/6 23:19
28913,4,2017/8/6 23:19
47883,2,2017/8/6 23:19
74561,5,2017/8/6 23:19
72183,5,2017/8/6 23:19
26681,4,2017/8/6 23:19
68961,5,2017/8/6 23:19
74158,4,2017/8/6 23:18
33279,3,2017/8/6 23:18
99345,3,2017/8/6 23:18
33154,5,2017/8/6 23:18
49343,5,2017/8/6 23:18
108724,4,2017/8/6 23:18
111798,5,2017/8/6 23:18
37236,3,2017/8/6 23:18
41179,4,2017/8/6 23:18
38637,5,2017/8/6 23:18
1310,3,2017/8/6 23:18
18304,5,2017/8/6 23:18
85824,4,2017/8/6 23:18
62130,5,2017/8/6 23:18
97513,5,2017/8/6 23:18
34748,4,2017/8/6 23:18
45458,4,2017/8/6 23:18
6231,5,2017/8/6 23:18
89774,5,2017/8/6 23:18
102280,4,2017/8/6 23:17
102340,3,2017/8/6 23:17
41974,1,2017/8/6 23:17
80398,5,2017/8/6 23:17
46697,5,2017/8/6 23:17
12908,4,2017/8/6 23:17
3702,5,2017/8/6 23:17
1526,5,2017/8/6 23:17
2554,5,2017/8/6 23:17
94373,5,2017/8/6 23:17
29330,4,2017/8/6 23:17
44561,5,2017/8/6 23:17
19672,4,2017/8/6 23:17
53927,5,2017/8/6 23:17
19070,2,2017/8/6 23:17
112293,5,2017/8/6 23:17
14490,5,2017/8/6 23:17
101093,5,2017/8/6 23:17
18917,5,2017/8/6 23:17
59444,5,2017/8/6 23:17
96879,5,2017/8/6 23:16
99330,4,2017/8/6 23:16
24796,5,2017/8/6 23:16
63785,1,2017/8/6 23:16
2206,4,2017/8/6 23:16
45716,4,2017/8/6 23:16
79664,5,2017/8/6 23:16
52406,5,2017/8/6 23:16
32325,5,2017/8/6 23:16
43361,5,2017/8/6 23:16
20222,3,2017/8/6 23:16
60188,4,2017/8/6 23:16
44321,5,2017/8/6 23:16
44071,4,2017/8/6 23:16
87740,4,2017/8/6 23:16
30404,4,2017/8/6 23:16
110013,5,2017/8/6 23:16
47873,4,2017/8/6 23:16
6794,4,2017/8/6 23:16
8568,5,2017/8/6 23:15
90277,4,2017/8/6 23:15
107213,1,2017/8/6 23:15
101226,5,2017/8/6 23:15
99587,1,2017/8/6 23:15
9229,4,2017/8/6 23:15
10675,5,2017/8/6 23:15
5593,5,2017/8/6 23:15
73164,4,2017/8/6 23:15
1414,5,2017/8/6 23:15
3759,4,2017/8/6 23:15
11408,5,2017/8/6 23:15
31940,5,2017/8/6 23:15
13499,4,2017/8/6 23:15
27067,5,2017/8/6 23:15
44843,4,2017/8/6 23:15
59876,4,2017/8/6 23:15
108661,5,2017/8/6 23:15
81148,5,2017/8/6 23:15
55367,3,2017/8/6 23:14
78827,5,2017/8/6 23:14
14021,5,2017/8/6 23:14
56085,5,2017/8/6 23:14
92233,3,2017/8/6 23:14
49363,5,2017/8/6 23:14
27904,5,2017/8/6 23:14
34728,5,2017/8/6 23:14
8660,4,2017/8/6 23:14
78272,5,2017/8/6 23:14
98313,5,2017/8/6 23:14
34476,4,2017/8/6 23:14
29575,3,2017/8/6 23:14
44352,3,2017/8/6 23:14
63164,5,2017/8/6 23:14
111551,4,2017/8/6 23:14
46238,5,2017/8/6 23:13
86240,3,2017/8/6 23:13
77493,4,2017/8/6 23:13
32029,3,2017/8/6 23:13
74688,4,2017/8/6 23:13
24315,5,2017/8/6 23:13
18968,3,2017/8/6 23:13
71511,5,2017/8/6 23:13
111541,4,2017/8/6 23:13
44758,5,2017/8/6 23:13
54788,5,2017/8/6 23:13
88695,3,2017/8/6 23:13
3635,3,2017/8/6 23:13
45066,4,2017/8/6 23:13
88489,3,2017/8/6 23:13
59797,2,2017/8/6 23:13
54563,3,2017/8/6 23:13
101039,4,2017/8/6 23:13
38799,5,2017/8/6 23:13
73349,5,2017/8/6 23:13
16005,4,2017/8/6 23:13
6479,5,2017/8/6 23:12
51540,4,2017/8/6 23:12
84112,3,2017/8/6 23:12
76897,2,2017/8/6 23:12
71207,4,2017/8/6 23:12
8964,5,2017/8/6 23:12
3898,5,2017/8/6 23:12
45293,5,2017/8/6 23:12
26873,4,2017/8/6 23:12
26560,3,2017/8/6 23:12
49267,5,2017/8/6 23:12
78556,3,2017/8/6 23:12
109408,4,2017/8/6 23:12
42851,5,2017/8/6 23:12
38567,5,2017/8/6 23:12
80941,3,2017/8/6 23:11
42926,1,2017/8/6 23:11
27572,4,2017/8/6 23:11
89830,5,2017/8/6 23:11
51912,5,2017/8/6 23:11
60868,4,2017/8/6 23:11
81761,1,2017/8/6 23:11
90120,5,2017/8/6 23:11
47697,5,2017/8/6 23:11
34328,5,2017/8/6 23:11
7943,5,2017/8/6 23:11
2187,5,2017/8/6 23:10
34651,5,2017/8/6 23:10
32409,5,2017/8/6 23:10
24330,5,2017/8/6 23:10
85932,3,2017/8/6 23:10
23090,4,2017/8/6 23:10
93096,4,2017/8/6 23:10
28747,5,2017/8/6 23:10
63095,4,2017/8/6 23:10
13467,2,2017/8/6 23:10
63832,5,2017/8/6 23:10
