,用户姓名,评分情况,个人主页,已经看过的电影,想看的电影,注册日期
125,看过,1.0,https://www.douban.com/people/139910325,['6'],[],2016-01-02
126,萌到没眉毛,3.0,https://www.douban.com/people/154572922,['35'],[],2016-12-03
127,灰灰,3.0,https://www.douban.com/people/127591096,['309'],['7'],2015-05-14
128,我lu不会飞,3.0,https://www.douban.com/people/157224553,['722'],['1'],2017-02-02
129,Zero先生不喝酒,1.0,https://www.douban.com/people/161990225,['1'],[],2017-05-31
130,豆仔,3.0,https://www.douban.com/people/153254677,['22'],[],2016-10-31
131,HUAMIN,3.0,https://www.douban.com/people/135541859,['1'],['1'],2015-10-05
132,一首歌一支舞,3.0,https://www.douban.com/people/156288411,['467'],['3'],2017-01-11
133,石头纯,1.0,https://www.douban.com/people/liangweicha,['637'],['26'],2008-02-03
134,无情天使,1.0,https://www.douban.com/people/154298387,['45'],[],2016-11-26
135,易先生,1.0,https://www.douban.com/people/61482642,['11'],['7'],2012-05-18
136,树凉儿底下,1.0,https://www.douban.com/people/guangyangmu,['398'],['39'],2014-01-26
137,南瓜公主,4.0,https://www.douban.com/people/52389655,['515'],['36'],2011-06-16
138,凹凸凸凸土,1.0,https://www.douban.com/people/149372462,['13'],[],2016-08-07
139,Mr.Ghost,,https://www.douban.com/people/156628042,['55'],['44'],2017-01-19
140,巨人彡,3.0,https://www.douban.com/people/150863376,['8'],[],2016-09-07
141,鱼在飞,1.0,https://www.douban.com/people/139277060,['33'],[],2015-12-20
142,兔牙妹纸呦,4.0,https://www.douban.com/people/159295533,['46'],['47'],2017-03-19
143,WalkerCarver,1.0,https://www.douban.com/people/CarveforLive,['356'],['123'],2010-12-31
144,像风一样缥缈,4.0,https://www.douban.com/people/143828182,['2'],[],2016-03-28
145,咔咔,1.0,https://www.douban.com/people/158871711,['1'],[],2017-03-10
146,jidubegins,1.0,https://www.douban.com/people/109111490,['33'],['1'],2014-11-20
147,木易行者,1.0,https://www.douban.com/people/77092352,['808'],['297'],2013-08-25
148,乐为峰狂,5.0,https://www.douban.com/people/161286370,['3'],['1'],2017-05-11
149,不会哭的鲨鱼,1.0,https://www.douban.com/people/124010736,['24'],['4'],2015-03-29
150,绘梨花,1.0,https://www.douban.com/people/137962051,['35'],['6'],2015-11-21
151,张稀也,1.0,https://www.douban.com/people/157795359,['54'],['3'],2017-02-14
152,Chains.,1.0,https://www.douban.com/people/157581811,['26'],['3'],2017-02-09
153,红烧蜘蛛侠,1.0,https://www.douban.com/people/162559775,['1'],[],2017-06-15
154,光辉,3.0,https://www.douban.com/people/149577506,['876'],['31'],2016-08-10
155,alfa,3.0,https://www.douban.com/people/51430669,['5'],['1'],2011-05-08
156,*^_^*,5.0,https://www.douban.com/people/162618043,['1'],[],2017-06-16
157,johan,1.0,https://www.douban.com/people/14509101,['7'],[],2009-10-03
158,以你为灯行,3.0,https://www.douban.com/people/157180152,['27'],[],2017-02-02
159,窗口,1.0,https://www.douban.com/people/102447984,['34'],['2'],2014-09-28
160,木头自行车123,4.0,https://www.douban.com/people/135580573,['1'],[],2015-10-05
161,YouHoBiRon,1.0,https://www.douban.com/people/YouHoBiRon,['71'],['43'],2013-07-26
162,昆山暴走团,5.0,https://www.douban.com/people/71180211,['1'],['1'],2013-04-13
163,?公子海?,1.0,https://www.douban.com/people/114677326,['12'],[],2014-12-08
164,苏西佑,3.0,https://www.douban.com/people/155151903,['6'],[],2016-12-17
165,脉脉说不出来话,3.0,https://www.douban.com/people/78541176,['7'],['3'],2013-09-30
166,金牛小何向西流,1.0,https://www.douban.com/people/155522745,['57'],['1'],2016-12-25
167,溢江东水,3.0,https://www.douban.com/people/50278650,['626'],['18'],2011-03-21
168,梦符号,3.0,https://www.douban.com/people/157262450,['140'],['1'],2017-02-03
169,我的旅途,3.0,https://www.douban.com/people/49531959,['175'],['79'],2011-02-18
170,张无几de爷爷,1.0,https://www.douban.com/people/144324912,['10'],[],2016-04-08
171,/name-?P=0/,1.0,https://www.douban.com/people/84340226,['715'],['428'],2014-03-03
172,原味,5.0,https://www.douban.com/people/147131225,['7'],['1'],2016-06-15
173,我可爱哒,3.0,https://www.douban.com/people/50560714,['4178'],['51'],2011-04-02
174,DarkSideMoon,1.0,https://www.douban.com/people/DarkSideMoon,['681'],['60'],2006-04-07
175,红豆薏仁水,3.0,https://www.douban.com/people/156682524,['771'],['20'],2017-01-21
176,eviline,1.0,https://www.douban.com/people/55286480,['2'],['1'],2011-10-14
177,执着,1.0,https://www.douban.com/people/147031346,['66'],[],2016-06-13
178,稍微青年??,1.0,https://www.douban.com/people/123674823,['2'],[],2015-03-25
179,送你龟西,3.0,https://www.douban.com/people/129856263,['446'],['12'],2015-06-17
180,Dowson,1.0,https://www.douban.com/people/150919716,['335'],['13'],2016-09-09
181,很馋的小腿腿,3.0,https://www.douban.com/people/146780694,['99'],['15'],2016-06-07
182,黑犬兽,1.0,https://www.douban.com/people/147571060,['49'],['1'],2016-06-26
183,王小赛,3.0,https://www.douban.com/people/140450039,['6'],[],2016-01-12
184,成仔,1.0,https://www.douban.com/people/159580649,['3'],[],2017-03-27
185,鲨鱼辣椒ω,5.0,https://www.douban.com/people/162373721,['1'],[],2017-06-10
186,Horatio,1.0,https://www.douban.com/people/110104743,['336'],['9'],2014-11-22
187,lvqing,3.0,https://www.douban.com/people/132096984,['854'],['21'],2015-07-27
188,嘛哩嘛哩哄,3.0,https://www.douban.com/people/147874025,['60'],['7'],2016-07-04
189,听西瓜说夏天走,5.0,https://www.douban.com/people/162457516,['1'],[],2017-06-12
190,槿阳,3.0,https://www.douban.com/people/73238164,['15'],['8'],2013-05-31
191,十七,1.0,https://www.douban.com/people/158361174,['45'],['15'],2017-02-26
192,赛考类贼斯特,1.0,https://www.douban.com/people/162583200,['5'],[],2017-06-15
193,selected_ones,1.0,https://www.douban.com/people/148723769,['1'],[],2016-07-24
194,二两三鲜,,https://www.douban.com/people/76842286,['2'],[],2013-08-19
195,伊奘冉尊银,1.0,https://www.douban.com/people/128156571,['12'],['3'],2015-05-24
196,pqqqqpq,3.0,https://www.douban.com/people/2015317,['816'],['231'],2007-11-18
197,DreamX,1.0,https://www.douban.com/people/1820229,['703'],['148'],2007-09-05
198,冠冠964,1.0,https://www.douban.com/people/157539437,['21'],[],2017-02-08
199,DATOUHEY,,https://www.douban.com/people/75224869,['276'],['1'],2013-07-12
200,miss,5.0,https://www.douban.com/people/152351548,['2'],['1'],2016-10-11
