,Index,rate,person_page,watched,want,register_date,isfake
83,1498,1.0,https://www.douban.com/people/162522517,0.00010143016533116949,0.0,0.998386725051855,1
84,1563,1.0,https://www.douban.com/people/162522245,0.0,0.0,0.998386725051855,1
85,1005,3.0,https://www.douban.com/people/162477039,0.0,0.0,0.9981562572021203,1
86,319,5.0,https://www.douban.com/people/162505237,0.00030429049599350845,0.0,0.9981562572021203,0
87,611,5.0,https://www.douban.com/people/162473170,0.0,0.0,0.9981562572021203,1
88,926,1.0,https://www.douban.com/people/162488026,0.00010143016533116949,0.0,0.9981562572021203,1
89,1697,1.0,https://www.douban.com/people/162486201,0.00020286033066233895,0.0,0.9981562572021203,0
90,767,3.0,https://www.douban.com/people/162473634,0.00020286033066233895,0.0,0.9981562572021203,0
91,1513,2.0,https://www.douban.com/people/162481007,0.0,0.0,0.9981562572021203,1
92,443,1.0,https://www.douban.com/people/162465682,0.00030429049599350845,0.0,0.9979257893523852,0
93,274,3.0,https://www.douban.com/people/162449677,0.0,0.0,0.9979257893523852,2
94,1486,1.0,https://www.douban.com/people/162436705,0.00010143016533116949,0.0,0.9979257893523852,2
95,189,5.0,https://www.douban.com/people/162457516,0.0,0.0,0.9979257893523852,2
96,750,1.0,https://www.douban.com/people/162420366,0.00010143016533116949,0.0,0.9976953215026501,2
97,1721,3.0,https://www.douban.com/people/162417540,0.0,0.0,0.9976953215026501,2
98,1566,3.0,https://www.douban.com/people/162420735,0.0,0.0009677865339416563,0.9976953215026501,2
99,124,1.0,https://www.douban.com/people/162415660,0.00030429049599350845,0.0,0.9976953215026501,0
100,882,3.0,https://www.douban.com/people/162416208,0.0005071508266558474,0.0,0.9976953215026501,0
101,19,5.0,https://www.douban.com/people/162401102,0.0007100111573181864,0.0,0.9976953215026501,0
102,1296,1.0,https://www.douban.com/people/162390305,0.00010143016533116949,0.0,0.9976953215026501,2
103,1351,5.0,https://www.douban.com/people/162415329,0.0,0.0,0.9976953215026501,2
104,347,1.0,https://www.douban.com/people/162410366,0.0,0.0,0.9976953215026501,2
105,1405,5.0,https://www.douban.com/people/162390034,0.00010143016533116949,0.0,0.9976953215026501,2
106,1338,5.0,https://www.douban.com/people/162416374,0.00010143016533116949,0.0005530208765380893,0.9976953215026501,2
107,1021,5.0,https://www.douban.com/people/162421129,0.0033471954559285933,0.0,0.9976953215026501,0
108,1018,3.0,https://www.douban.com/people/162409968,0.0,0.00041476565740356696,0.9976953215026501,2
109,1050,5.0,https://www.douban.com/people/162372918,0.00020286033066233895,0.0,0.9974648536529154,0
110,817,5.0,https://www.douban.com/people/162355500,0.0,0.00013825521913452232,0.9974648536529154,2
111,568,1.0,https://www.douban.com/people/162389623,0.00010143016533116949,0.0,0.9974648536529154,2
112,1475,1.0,https://www.douban.com/people/162361623,0.00030429049599350845,0.00027651043826904464,0.9974648536529154,0
113,768,3.0,https://www.douban.com/people/162359162,0.0,0.00027651043826904464,0.9974648536529154,2
114,555,4.0,https://www.douban.com/people/162363620,0.0,0.0,0.9974648536529154,2
115,1397,3.0,https://www.douban.com/people/162385115,0.0,0.0,0.9974648536529154,2
116,679,3.0,https://www.douban.com/people/162361955,0.00010143016533116949,0.0,0.9974648536529154,2
117,185,5.0,https://www.douban.com/people/162373721,0.0,0.0,0.9974648536529154,2
118,691,4.0,https://www.douban.com/people/162367985,0.0009128714879805254,0.0,0.9974648536529154,0
119,526,3.0,https://www.douban.com/people/162379547,0.00040572066132467795,0.0,0.9974648536529154,0
120,387,5.0,https://www.douban.com/people/162376818,0.00020286033066233895,0.0,0.9974648536529154,0
121,1801,2.0,https://www.douban.com/people/162337303,0.00030429049599350845,0.0,0.9972343858031802,0
122,823,1.0,https://www.douban.com/people/162343333,0.0,0.0,0.9972343858031802,2
123,785,2.0,https://www.douban.com/people/162343002,0.0,0.0,0.9972343858031802,2
124,1108,3.0,https://www.douban.com/people/162350757,0.0,0.0,0.9972343858031802,2
125,88,5.0,https://www.douban.com/people/162341565,0.00040572066132467795,0.00041476565740356696,0.9972343858031802,0
126,494,2.0,https://www.douban.com/people/162346431,0.005071508266558475,0.003041614820959491,0.9972343858031802,0
127,397,4.0,https://www.douban.com/people/162327854,0.0,0.0,0.9972343858031802,2
128,1017,4.0,https://www.douban.com/people/162328517,0.0,0.0,0.9972343858031802,2
129,585,3.0,https://www.douban.com/people/162303433,0.0005071508266558474,0.0,0.9970039179534451,0
130,1012,4.0,https://www.douban.com/people/162274223,0.00020286033066233895,0.0,0.9967734501037104,0
131,28,1.0,https://www.douban.com/people/162260961,0.00010143016533116949,0.0005530208765380893,0.9967734501037104,2
132,683,5.0,https://www.douban.com/people/162250737,0.00010143016533116949,0.0,0.9967734501037104,2
133,219,4.0,https://www.douban.com/people/162265864,0.00010143016533116949,0.0,0.9967734501037104,2
134,452,2.0,https://www.douban.com/people/162210436,0.0,0.0,0.9965429822539753,2
135,1467,1.0,https://www.douban.com/people/162162892,0.0008114413226493559,0.0012442969722107008,0.9963125144042406,0
