user,userid,item,itemid,score_all
中国光华科技基金会,85,河南省青年创业就业基金会,714,24.70000076
中国光华科技基金会,85,温州医科大学教育发展基金会,803,24.70000076
中国光华科技基金会,85,重庆大学教育发展基金会,970,24.70000076
中国光彩事业基金会,86,天津南开大学教育基金会,414,42.70000076
中国公安民警英烈基金会,87,吉林省公安民警优抚基金会,366,29.79999924
中国公安民警英烈基金会,87,宁夏回族自治区公安民警英烈基金会,430,27.70000076
中国公安民警英烈基金会,87,青海省公安民警英烈基金会,1031,27.70000076
中国出生缺陷干预救助基金会,88,山西省出生缺陷干预救助基金会,477,50.79999924
中国初级卫生保健基金会,89,北京康盟慈善基金会,262,73
中国初级卫生保健基金会,89,北京白求恩公益基金会,295,51.70000076
中国初级卫生保健基金会,89,黑龙江省残疾人福利基金会,1058,33.70000076
中国医药卫生事业发展基金会,91,中国红十字基金会,117,48.70000076
中国华侨公益基金会,92,上海市华侨事业发展基金会,18,40.90000153
中国华侨公益基金会,92,云南华商公益基金会,138,43.90000153
中国华侨公益基金会,92,北京春苗儿童救助基金会,277,33.70000076
中国华侨公益基金会,92,四川省华侨公益基金会,396,52.90000153
中国华侨公益基金会,92,湖南省华侨公益基金会,822,40.90000153
中国华侨公益基金会,92,首都文明工程基金会,1044,33.70000076
中国华侨公益基金会,92,黑龙江省华侨经济文化基金会,1056,40
中国华夏文化遗产基金会,93,兰州大学教育发展基金会,160,42.70000076
中国友好和平发展基金会,94,兰州大学教育发展基金会,160,24.70000076
中国发展研究基金会,95,四川省儿童少年基金会,393,30.70000076
中国听力医学发展基金会,97,云南省残疾人福利基金会,150,48.70000076
中国国际文化交流基金会,98,上海市华东师范大学教育发展基金会,17,38.79999924
中国国际文化交流基金会,98,东北师范大学教育基金会,57,37.90000153
中国国际文化交流基金会,98,内蒙古师范大学教育发展基金会,168,37.90000153
中国国际文化交流基金会,98,北京师范大学教育基金会,261,73
中国国际文化交流基金会,98,华中师范大学教育发展基金会,323,38.79999924
中国国际文化交流基金会,98,广西师范大学教育发展基金会,571,37.90000153
中国国际文化交流基金会,98,江西师范大学教育发展基金会,676,35.79999924
中国国际文化交流基金会,98,重庆西南大学教育基金会,988,38.79999924
中国国际文化交流基金会,98,陕西师范大学教育基金会,1008,40
中国妇女发展基金会,99,乐至县教育基金会,136,24.70000076
中国妇女发展基金会,99,北京妇女儿童发展基金会,231,42.09999847
中国妇女发展基金会,99,北京春晖博爱儿童救助公益基金会,276,33.70000076
中国妇女发展基金会,99,北京瑞普华老年救助基金会,292,24.70000076
